Date,type,ticket_id,agent name,created time,end time,csat score,COR,main category,sub category,resolution time,First Response Time (min),SLA Met,Issue Severity,Escalated,User Type
2025-03-11,email,300059,Nour,18:21,19:12,4,MY,P2P,Payment Dispute,51 min,41,Yes,Medium,No,Retail
2025-12-20,chat,300060,Khalid,08:43,10:02,3,EG,Verification,Source of Funds,79 min,45,No,High,No,Retail
2025-03-29,chat,300061,Khalid,21:32,22:34,1,SA,Spot,Insufficient Balance,62 min,23,No,High,No,Retail
2025-04-07,chat,300062,Mohannad,19:39,21:45,2,DE,Card,Cashback Missing,126 min,20,No,High,Yes,Retail
2025-11-24,chat,300063,Lina,00:50,03:07,4,PK,Referral,Tier Upgrade Issue,137 min,56,Yes,Low,No,Retail
2025-05-03,chat,300064,Lina,04:13,07:58,4,QA,Deposit,Internal Transfer Pending,225 min,19,Yes,Low,No,Retail
2025-08-23,chat,300065,Mohannad,04:22,05:31,4,PK,Verification,Level 2 KYC,69 min,13,Yes,Medium,No,VIP
2025-01-25,chat,300066,Mohannad,17:39,17:49,5,IN,Withdrawal,Rejected by Bank,10 min,10,Yes,Low,No,Retail
2025-07-28,chat,300067,Nour,03:03,05:24,4,EG,Withdrawal,Rejected by Bank,141 min,36,Yes,Medium,No,VIP
2025-05-27,chat,300068,Fatima,05:51,06:57,2,UK,P2P,Payment Dispute,66 min,50,Yes,Medium,No,Retail
2025-06-04,email,300069,Amin,00:16,04:07,4,BH,Security Setting,2FA Reset,231 min,45,Yes,Low,No,Retail
2025-06-23,chat,300070,Fatima,11:56,14:52,4,BH,Verification,ID Mismatch,176 min,48,Yes,Medium,No,Retail
2025-08-22,chat,300071,Fatima,15:33,19:16,4,AE,Trading,Price Discrepancy,223 min,43,Yes,Low,No,Institutional
2025-02-08,chat,300072,Nour,02:13,02:23,4,MY,Deposit,Unsupported Token,10 min,10,Yes,High,No,Retail
2025-11-01,chat,300073,Omar,07:19,09:34,3,SA,Security Setting,Anti?Phishing Code,135 min,20,Yes,Medium,No,Retail
2025-11-10,chat,300074,Khalid,14:43,15:40,3,ID,Spot,Insufficient Balance,57 min,21,Yes,Medium,No,Retail
2025-03-24,email,300075,Omar,11:43,14:57,5,TR,Verification,Level 2 KYC,194 min,59,Yes,Medium,No,Retail
2025-12-16,chat,300076,Khalid,08:34,09:17,5,EG,Referral,Tier Upgrade Issue,43 min,14,Yes,Medium,No,Retail
2025-07-26,email,300077,Fatima,13:07,16:51,3,ID,Trading,Order Not Filled,224 min,46,Yes,Medium,No,Retail
2025-12-21,email,300078,Omar,11:41,15:26,2,AE,Withdrawal,Bank Delay,225 min,57,Yes,Low,No,Retail
2025-03-21,chat,300079,Nour,02:28,06:06,1,AE,Security Setting,2FA Reset,218 min,15,No,Medium,Yes,Retail
2025-01-21,chat,300080,Mohannad,03:06,03:42,4,PK,Security Setting,Anti?Phishing Code,36 min,5,Yes,Low,No,Retail
2025-07-18,chat,300081,Mohannad,09:42,12:41,3,PK,P2P,Wrong Amount Sent,179 min,20,Yes,Medium,No,Retail
2025-11-29,chat,300082,Aya,12:17,13:52,4,EG,P2P,Order Stuck,95 min,50,Yes,High,Yes,Retail
2025-08-09,chat,300083,Aya,13:55,17:34,3,IN,Trading,Order Not Filled,219 min,45,Yes,Medium,No,Retail
2025-03-09,email,300084,Mohannad,22:45,23:07,1,TR,Withdrawal,Rejected by Bank,22 min,14,Yes,High,No,VIP
2025-02-24,chat,300085,Fatima,16:21,20:10,2,UK,Deposit,Unsupported Token,229 min,25,Yes,Medium,Yes,Retail
2025-11-18,chat,300086,Aya,06:01,07:23,5,ID,Referral,Tier Upgrade Issue,82 min,12,Yes,High,No,Retail
2025-02-22,chat,300087,Mohannad,08:06,08:21,5,AE,Trading,Price Discrepancy,15 min,8,Yes,Medium,No,Retail
2025-02-07,email,300088,Omar,23:04,23:10,2,SA,Trading,Order Rejected,6 min,4,No,Urgent,No,Retail
2025-12-01,email,300089,Fatima,04:34,07:41,5,TR,Spot,Unable to Sell,187 min,41,Yes,Low,No,Retail
2025-12-06,email,300090,Aya,04:19,07:14,3,ID,Verification,ID Mismatch,175 min,48,Yes,Medium,No,Retail
2025-12-07,chat,300091,Omar,10:43,12:18,4,AE,Deposit,Tag/Memo Missing,95 min,10,Yes,Medium,Yes,Retail
2025-08-20,chat,300092,Fatima,09:04,11:41,5,EG,Card,Card Declined,157 min,52,Yes,Urgent,No,Retail
2025-06-17,chat,300093,Fatima,10:35,13:14,1,QA,Security Setting,Login Alerts,159 min,23,Yes,Medium,Yes,Retail
2025-09-07,chat,300094,Amin,02:39,05:07,1,SA,Deposit,Internal Transfer Pending,148 min,11,Yes,Medium,Yes,VIP
2025-12-09,email,300095,Khalid,04:58,08:43,2,EG,Trading,Slippage Concern,225 min,59,No,Urgent,No,Retail
2025-11-19,chat,300096,Aya,02:01,05:36,4,BH,Trading,Slippage Concern,215 min,26,No,Urgent,Yes,Retail
2025-09-06,chat,300097,Lina,01:14,03:39,3,DE,P2P,Order Stuck,145 min,36,Yes,High,No,VIP
2025-08-14,chat,300098,Sara,17:59,19:31,4,KW,Futures,Margin Call,92 min,20,Yes,Medium,No,VIP
2025-10-09,chat,300099,Omar,20:42,23:46,4,MY,Verification,Level 1 KYC,184 min,50,Yes,Medium,No,Retail
2025-08-09,email,300100,Lina,07:06,09:42,3,PK,P2P,Payment Not Received,156 min,22,No,High,No,Retail
2025-03-26,chat,300101,Yousef,22:11,23:00,3,KW,Security Setting,2FA Disabled,49 min,49,No,Urgent,Yes,Retail
2025-03-21,chat,300102,Khalid,06:33,08:50,3,TR,Spot,Fee Dispute,137 min,56,Yes,Medium,No,VIP
2025-06-26,chat,300103,Fatima,23:48,23:55,5,IN,Withdrawal,On?chain Pending,7 min,2,Yes,Medium,Yes,Retail
2025-04-09,email,300104,Fatima,09:04,12:38,5,EG,Deposit,Unsupported Token,214 min,51,Yes,Medium,No,Retail
2025-10-23,chat,300105,Yousef,14:29,15:52,5,ID,Spot,Price Chart Issue,83 min,6,Yes,Low,No,Retail
2025-04-17,chat,300106,Lina,20:15,23:12,5,PK,Withdrawal,Bank Delay,177 min,60,Yes,Medium,No,VIP
2025-07-13,email,300107,Aya,19:06,22:56,5,IN,P2P,Payment Dispute,230 min,5,Yes,Low,No,Retail
2025-10-07,chat,300108,Lina,06:51,07:56,3,BH,Futures,Leverage Issue,65 min,23,Yes,Low,No,Retail
2025-03-28,chat,300109,Amin,20:54,22:48,3,MY,Spot,Fee Dispute,114 min,58,Yes,Medium,No,Retail
2025-01-07,chat,300110,Yousef,22:22,23:14,1,SA,Card,Card Declined,52 min,29,Yes,Medium,No,Retail
2025-04-02,chat,300111,Khalid,03:21,03:58,4,KW,Security Setting,Login Alerts,37 min,30,Yes,Medium,No,Retail
2025-07-02,chat,300112,Amin,10:54,11:13,5,KW,Trading,Slippage Concern,19 min,3,Yes,Medium,No,Retail
2025-07-24,email,300113,Lina,04:07,06:57,4,EG,Security Setting,2FA Disabled,170 min,54,Yes,Medium,No,Retail
2025-01-16,chat,300114,Mohannad,23:28,23:55,3,MY,Security Setting,2FA Disabled,27 min,27,No,Medium,No,Retail
2025-04-29,email,300115,Khalid,07:40,10:44,3,TR,Security Setting,2FA Disabled,184 min,14,No,High,No,Retail
2025-12-18,chat,300116,Aya,19:12,21:52,4,UK,Trading,Price Discrepancy,160 min,8,Yes,Urgent,Yes,Retail
2025-04-28,chat,300117,Khalid,01:22,02:18,5,EG,Security Setting,2FA Disabled,56 min,17,Yes,Medium,No,Retail
2025-05-16,chat,300118,Khalid,02:05,04:18,2,EG,P2P,Payment Not Received,133 min,21,Yes,Medium,No,Retail
2025-04-18,chat,300119,Yousef,12:32,12:57,4,EG,Deposit,Unsupported Token,25 min,15,Yes,Medium,No,Retail
2025-07-06,chat,300120,Khalid,11:57,14:49,1,MY,Trading,Order Not Filled,172 min,57,Yes,High,Yes,Retail
2025-06-09,chat,300121,Mohannad,15:51,16:03,4,IN,Trading,Slippage Concern,12 min,11,No,Urgent,No,Retail
2025-10-28,chat,300122,Lina,21:36,22:18,4,UK,P2P,Appeal Order,42 min,3,Yes,Medium,No,Retail
2025-08-12,chat,300123,Lina,04:00,04:34,2,BH,Trading,Order Not Filled,34 min,5,No,High,No,Retail
2025-04-03,email,300124,Nour,04:39,08:01,2,KW,Withdrawal,Bank Delay,202 min,36,Yes,Medium,No,Retail
2025-09-12,chat,300125,Amin,09:31,12:04,4,BH,Futures,PNL Not Updated,153 min,11,No,High,No,Retail
2025-06-24,email,300126,Amin,03:06,03:14,4,ID,Trading,Slippage Concern,8 min,7,Yes,Medium,No,Retail
2025-01-22,chat,300127,Yousef,22:07,23:21,4,PK,Security Setting,Login Alerts,74 min,7,Yes,Medium,Yes,VIP
2025-07-30,chat,300128,Sara,05:04,06:26,3,ID,Referral,Missing Referral Bonus,82 min,20,No,Medium,No,Retail
2025-07-28,chat,300129,Mohannad,09:56,10:33,3,SA,Referral,Tier Upgrade Issue,37 min,10,Yes,Medium,No,Retail
2025-12-10,chat,300130,Yousef,04:08,05:29,4,EG,Verification,Level 1 KYC,81 min,55,Yes,Low,No,Retail
2025-10-10,email,300131,Aya,17:56,21:38,5,UK,Spot,Insufficient Balance,222 min,11,Yes,Low,No,Retail
2025-06-11,chat,300132,Fatima,15:55,17:10,4,MY,Referral,Referral Code Not Applied,75 min,46,Yes,Medium,No,VIP
2025-12-21,chat,300133,Nour,20:50,23:01,4,SA,Deposit,Internal Transfer Pending,131 min,56,Yes,High,No,Retail
2025-04-09,chat,300134,Lina,13:52,17:22,2,BH,P2P,Payment Not Received,210 min,58,No,Low,No,Retail
2025-09-05,chat,300135,Fatima,22:49,23:50,5,MY,Withdrawal,Exceeded Limit,61 min,3,Yes,Medium,Yes,Retail
2025-10-15,email,300136,Sara,20:16,22:12,5,QA,Spot,Insufficient Balance,116 min,48,Yes,High,Yes,Retail
2025-02-18,email,300137,Lina,23:49,23:54,3,BH,Card,Card Not Received,5 min,5,No,High,Yes,Retail
2025-10-29,chat,300138,Omar,07:22,08:01,5,QA,Withdrawal,Wrong Tag/Memo,39 min,32,Yes,Medium,No,Retail
2025-10-01,chat,300139,Lina,13:44,16:00,5,QA,Futures,PNL Not Updated,136 min,29,Yes,Medium,No,Retail
2025-03-23,email,300140,Amin,18:49,21:58,5,BH,Deposit,Tag/Memo Missing,189 min,34,Yes,Medium,No,Retail
2025-05-06,chat,300141,Amin,05:13,05:39,4,MY,Referral,Missing Referral Bonus,26 min,8,Yes,Medium,No,Retail
2025-12-17,chat,300142,Khalid,16:16,17:46,1,UK,Futures,PNL Not Updated,90 min,33,Yes,High,No,Retail
2025-06-05,email,300143,Omar,18:05,18:31,3,BH,Referral,Missing Referral Bonus,26 min,16,No,Low,No,Retail
2025-01-11,chat,300144,Lina,00:28,02:07,5,KW,Trading,Slippage Concern,99 min,23,Yes,Medium,No,Retail
2025-08-15,chat,300145,Omar,07:59,11:11,5,IN,Referral,Tier Upgrade Issue,192 min,27,No,High,No,Retail
2025-07-12,chat,300146,Yousef,13:42,16:20,3,EG,Withdrawal,Wrong Tag/Memo,158 min,49,Yes,Low,No,Retail
2025-03-03,chat,300147,Lina,16:24,18:13,4,AE,Spot,Unable to Sell,109 min,20,Yes,Low,No,Retail
2025-12-31,chat,300148,Lina,22:57,23:04,4,ID,Security Setting,Login Alerts,7 min,2,Yes,Low,No,Retail
2025-04-16,chat,300149,Aya,21:48,23:47,4,QA,Verification,Level 1 KYC,119 min,46,Yes,Medium,No,VIP
2025-01-25,email,300150,Fatima,18:51,19:33,5,KW,Futures,Margin Call,42 min,18,Yes,High,Yes,Retail
2025-03-14,email,300151,Nour,15:15,17:23,4,TR,Spot,Insufficient Balance,128 min,39,Yes,High,Yes,VIP
2025-10-11,email,300152,Fatima,19:03,22:03,4,AE,Security Setting,Login Alerts,180 min,34,Yes,Medium,No,Retail
2025-01-11,chat,300153,Amin,22:02,23:21,4,IN,P2P,Payment Dispute,79 min,30,Yes,Medium,No,Retail
2025-07-31,email,300154,Mohannad,20:15,21:23,4,UK,Verification,Level 2 KYC,68 min,31,Yes,Medium,No,VIP
2025-05-02,chat,300155,Aya,17:36,19:29,3,KW,Deposit,Tag/Memo Missing,113 min,22,Yes,Low,No,Retail
2025-06-25,email,300156,Fatima,21:54,23:37,5,ID,Trading,Slippage Concern,103 min,1,Yes,Low,No,Retail
2025-06-03,chat,300157,Nour,19:28,21:55,5,UK,P2P,Appeal Order,147 min,18,Yes,Medium,No,VIP
2025-03-05,email,300158,Khalid,09:47,10:59,2,TR,Card,Card Not Received,72 min,43,No,High,Yes,Retail
2025-04-13,chat,300159,Fatima,03:21,04:22,4,IN,Spot,Price Chart Issue,61 min,30,Yes,High,No,Retail
2025-03-20,chat,300160,Aya,15:12,15:48,4,KW,Futures,PNL Not Updated,36 min,22,Yes,Medium,No,Retail
2025-09-11,chat,300161,Omar,03:25,03:33,4,TR,Security Setting,2FA Disabled,8 min,5,Yes,Low,No,Retail
2025-12-07,chat,300162,Aya,18:07,20:00,5,PK,Deposit,Tag/Memo Missing,113 min,1,Yes,Low,No,VIP
2025-01-30,chat,300163,Khalid,03:23,04:39,4,TR,Verification,Source of Funds,76 min,33,Yes,Medium,No,Retail
2025-07-04,email,300164,Mohannad,14:06,14:35,3,KW,P2P,Wrong Amount Sent,29 min,1,No,Medium,No,Retail
2025-01-27,chat,300165,Lina,14:08,18:02,2,DE,Spot,Price Chart Issue,234 min,40,Yes,Medium,No,Retail
2025-07-13,email,300166,Lina,16:59,19:52,2,UK,Verification,Level 1 KYC,173 min,29,Yes,Medium,No,VIP
2025-01-10,chat,300167,Aya,03:12,04:21,5,SA,Deposit,On?chain Pending,69 min,8,Yes,Medium,No,Retail
2025-06-09,chat,300168,Khalid,10:23,12:09,4,MY,Referral,Referral Code Not Applied,106 min,57,Yes,Medium,No,Retail
2025-03-24,email,300169,Amin,01:50,05:25,5,UK,Deposit,On?chain Pending,215 min,28,Yes,Urgent,Yes,Retail
2025-04-03,chat,300170,Mohannad,20:31,20:45,3,MY,Futures,Margin Call,14 min,12,No,Medium,No,Retail
2025-08-11,chat,300171,Amin,21:10,23:05,5,AE,P2P,Payment Not Received,115 min,24,Yes,Low,No,Retail
2025-06-22,email,300172,Aya,10:00,12:31,4,AE,Deposit,Internal Transfer Pending,151 min,33,Yes,Low,No,Retail
2025-04-07,chat,300173,Sara,02:34,02:49,5,EG,Verification,POA Review,15 min,12,Yes,Medium,No,Retail
2025-06-24,chat,300174,Yousef,22:23,23:05,3,IN,Futures,PNL Not Updated,42 min,26,Yes,Low,No,Retail
2025-01-30,chat,300175,Aya,14:41,18:13,3,UK,P2P,Wrong Amount Sent,212 min,38,No,Urgent,Yes,VIP
2025-12-27,chat,300176,Nour,00:19,03:45,4,QA,Spot,Unable to Sell,206 min,2,No,Medium,Yes,Retail
2025-10-08,email,300177,Khalid,02:31,03:57,3,UK,Futures,PNL Not Updated,86 min,22,Yes,Low,No,Retail
2025-06-26,chat,300178,Aya,06:56,09:55,4,ID,Verification,Source of Funds,179 min,54,Yes,Medium,No,Retail
2025-07-25,chat,300179,Yousef,21:27,22:44,5,PK,Referral,Referral Code Not Applied,77 min,17,Yes,Medium,Yes,Retail
2025-03-15,chat,300180,Yousef,14:52,16:25,4,ID,Security Setting,Change Password,93 min,33,Yes,Medium,Yes,Retail
2025-05-02,email,300181,Omar,21:33,22:39,3,KW,Withdrawal,Wrong Tag/Memo,66 min,43,Yes,Low,No,VIP
2025-07-16,chat,300182,Aya,06:31,10:26,5,IN,Security Setting,Login Alerts,235 min,50,Yes,Low,No,Institutional
2025-05-06,chat,300183,Fatima,10:01,13:53,5,EG,Trading,Order Rejected,232 min,48,Yes,High,Yes,Retail
2025-11-17,chat,300184,Lina,05:26,07:54,4,AE,Verification,POA Review,148 min,58,Yes,High,No,Retail
2025-07-07,email,300185,Khalid,17:59,18:40,5,SA,Trading,Price Discrepancy,41 min,6,Yes,Low,No,Retail
2025-06-23,chat,300186,Mohannad,00:53,01:00,5,AE,Spot,Fee Dispute,7 min,6,Yes,Medium,No,Retail
2025-05-12,chat,300187,Mohannad,08:50,09:42,3,DE,Verification,Source of Funds,52 min,13,Yes,Medium,No,Retail
2025-02-10,chat,300188,Nour,02:46,05:27,5,ID,Verification,ID Mismatch,161 min,2,Yes,Low,No,Retail
2025-03-13,email,300189,Fatima,00:12,02:54,4,KW,Futures,Liquidation Dispute,162 min,25,Yes,High,No,Retail
2025-05-05,email,300190,Nour,16:01,19:14,4,KW,Futures,PNL Not Updated,193 min,9,Yes,Low,No,Retail
2025-05-20,chat,300191,Fatima,07:19,09:15,1,UK,Deposit,On?chain Pending,116 min,10,No,Medium,No,VIP
2025-04-14,email,300192,Mohannad,05:34,06:27,4,SA,Deposit,On?chain Pending,53 min,52,No,Medium,No,Retail
2025-12-17,email,300193,Lina,12:53,13:58,3,ID,Trading,Order Not Filled,65 min,31,Yes,Medium,Yes,Retail
2025-11-25,chat,300194,Khalid,01:28,04:37,4,ID,Verification,Level 1 KYC,189 min,57,Yes,Medium,No,Retail
2025-07-05,chat,300195,Khalid,10:17,10:58,5,DE,Referral,Tier Upgrade Issue,41 min,22,Yes,Medium,No,Retail
2025-09-28,email,300196,Amin,09:27,11:38,3,BH,P2P,Order Stuck,131 min,8,No,Urgent,No,Retail
2025-05-21,chat,300197,Omar,02:45,03:36,5,PK,Security Setting,Anti?Phishing Code,51 min,11,Yes,Low,No,VIP
2025-10-21,email,300198,Omar,16:52,18:31,4,AE,Card,Card Declined,99 min,39,Yes,High,No,Retail
2025-04-28,chat,300199,Sara,15:19,18:33,5,PK,Deposit,On?chain Pending,194 min,29,Yes,Medium,No,Retail
2025-01-29,chat,300200,Aya,21:35,21:55,4,EG,Card,ATM Withdrawal Failed,20 min,15,Yes,Low,No,Institutional
2025-12-26,chat,300201,Fatima,13:55,17:05,5,EG,Verification,POA Review,190 min,3,Yes,High,No,VIP
2025-07-01,chat,300202,Omar,22:14,23:23,3,AE,Referral,Missing Referral Bonus,69 min,12,Yes,Low,No,Retail
2025-03-31,email,300203,Fatima,17:19,17:42,5,QA,Security Setting,2FA Disabled,23 min,1,Yes,Medium,Yes,Retail
2025-03-04,chat,300204,Amin,18:03,18:46,4,KW,Withdrawal,On?chain Pending,43 min,23,No,High,No,VIP
2025-09-16,chat,300205,Aya,23:06,23:15,2,KW,Spot,Fee Dispute,9 min,5,No,High,No,Retail
2025-09-02,chat,300206,Khalid,23:34,23:52,4,ID,Trading,Order Not Filled,18 min,5,Yes,Low,No,Retail
2025-11-21,chat,300207,Khalid,16:22,17:58,1,IN,Referral,Tier Upgrade Issue,96 min,19,No,Low,No,Retail
2025-12-21,chat,300208,Aya,17:20,18:14,3,PK,Futures,Leverage Issue,54 min,7,No,High,No,Retail
2025-11-29,chat,300209,Mohannad,22:13,22:19,5,BH,Verification,POA Review,6 min,4,Yes,Low,No,Institutional
2025-02-19,chat,300210,Nour,02:49,04:27,4,BH,Security Setting,2FA Reset,98 min,50,Yes,High,Yes,Retail
2025-05-29,email,300211,Amin,13:48,17:46,4,QA,Spot,Unable to Sell,238 min,42,Yes,Medium,No,Retail
2025-12-11,chat,300212,Aya,02:17,05:58,4,SA,Withdrawal,Bank Delay,221 min,44,Yes,Medium,No,Retail
2025-12-30,chat,300213,Aya,08:41,11:27,5,PK,Referral,Tier Upgrade Issue,166 min,44,Yes,Medium,No,Retail
2025-01-13,chat,300214,Aya,17:33,17:50,4,UK,Security Setting,Login Alerts,17 min,2,Yes,Medium,No,Retail
2025-01-23,chat,300215,Omar,16:13,17:27,3,SA,Referral,Tier Upgrade Issue,74 min,42,No,High,No,Retail
2025-01-27,email,300216,Fatima,17:16,19:54,5,QA,Deposit,On?chain Pending,158 min,9,Yes,Medium,Yes,Institutional
2025-01-29,email,300217,Lina,16:05,16:30,4,TR,Futures,PNL Not Updated,25 min,24,Yes,Low,No,Retail
2025-04-24,chat,300218,Sara,05:55,08:55,5,TR,Withdrawal,Wrong Tag/Memo,180 min,12,Yes,High,No,Retail
2025-12-31,chat,300219,Sara,13:33,17:05,4,BH,P2P,Payment Dispute,212 min,25,No,Medium,No,Retail
2025-04-30,email,300220,Fatima,05:25,06:00,2,PK,Deposit,Unsupported Token,35 min,28,Yes,Medium,No,Retail
